ppm,intensity
83.9464,39.5038
84.0938,42.8463
84.2412,43.4843
84.3885,43.4305
84.5359,44.6162
84.6832,44.9784
84.8306,41.9647
84.978,37.0351
85.1253,30.0836
85.2727,21.6802
85.42,13.8543
85.5674,7.01044
85.7148,1.84915
85.8621,2.03724
86.0095,6.41401
86.1569,7.64865
86.3042,3.99603
86.4516,2.2991
86.5989,3.902
86.7463,1.60629
86.8937,-5.96897
87.041,-13.811
87.1884,-16.7486
87.3357,-13.4462
87.4831,-6.70389
87.6305,-0.160285
87.7778,2.45347
87.9252,-1.67251
88.0725,-9.96759
88.2199,-18.0636
88.3673,-22.5166
88.5146,-19.8464
88.662,-14.2103
88.8094,-9.56941
88.9567,-5.59982
89.1041,-5.74078
89.2514,-7.15806
89.3988,-6.87069
89.5462,-10.3141
89.6935,-18.6788
89.8409,-28.0933
89.9882,-33.0038
90.1356,-30.7564
90.283,-26.3454
90.4303,-24.4093
90.5777,-20.3785
90.725,-10.5513
90.8724,1.02842
91.0198,7.80222
91.1671,10.3885
91.3145,16.0187
91.4619,23.0084
91.6092,26.1306
91.7566,22.8584
91.9039,16.5959
92.0513,14.0647
92.1987,12.9792
92.346,9.23953
92.4934,5.68515
92.6407,1.27415
92.7881,-7.49219
92.9355,-14.0616
93.0828,-11.3293
93.2302,-2.70822
93.3776,5.50785
93.5249,15.7486
93.6723,25.6893
93.8196,28.5826
93.967,26.9688
94.1144,24.2767
94.2617,21.3932
94.4091,18.6127
94.5564,18.0872
94.7038,22.7533
94.8512,30.2936
94.9985,35.1444
95.1459,36.1449
95.2932,37.437
95.4406,44.4177
95.588,57.6308
95.7353,72.9115
95.8827,82.9403
96.0301,85.4334
96.1774,85.4349
96.3248,84.6218
96.4721,83.6998
96.6195,82.732
96.7669,82.5605
96.9142,86.3598
97.0616,95.345
97.2089,105.866
97.3563,113.467
97.5037,116.662
97.651,115.323
97.7984,112.242
97.9457,111.047
98.0931,112.68
98.2405,114.645
98.3878,114.964
98.5352,114.586
98.6826,112.78
98.8299,107.776
98.9773,104.213
99.1246,107.495
99.272,115.614
99.4194,124.897
99.5667,134.517
99.7141,141.051
99.8614,142.138
100.009,142.466
100.156,145.998
100.304,150.48
100.451,153.051
100.598,157.181
100.746,163.752
100.893,167.602
101.04,166.421
101.188,162.794
101.335,158.774
101.482,157.959
101.63,163.623
101.777,172.011
101.924,179.266
102.072,186.491
102.219,195.902
102.367,200.815
102.514,197.48
102.661,191.911
102.809,186.865
102.956,183.807
103.103,185.146
103.251,189.876
103.398,193.418
103.545,192.137
103.693,183.111
103.84,167.079
103.988,150.359
104.135,136.31
104.282,123.553
104.43,113.961
104.577,107.942
104.724,100.809
104.872,94.7233
105.019,93.7116
105.166,90.6274
105.314,78.1582
105.461,60.4244
105.609,46.494
105.756,40.2307
105.903,36.8268
106.051,34.7686
106.198,38.5635
106.345,44.1964
106.493,41.5042
106.64,30.3419
106.787,19.4446
106.935,14.9998
107.082,14.0953
107.23,9.16049
107.377,-0.429358
107.524,-8.80188
107.672,-8.68221
107.819,-2.14468
107.966,2.02079
108.114,4.47052
108.261,7.18955
108.408,9.16713
108.556,9.14986
108.703,3.31638
108.85,-1.60813
108.998,2.77616
109.145,11.6712
109.293,18.7656
109.44,21.8663
109.587,22.7383
109.735,22.6926
109.882,21.816
110.029,20.7755
110.177,19.073
110.324,16.3429
110.471,13.3702
110.619,11.399
110.766,9.81927
110.914,7.98047
111.061,8.65461
111.208,13.2632
111.356,18.2186
111.503,23.9407
111.65,31.2594
111.798,37.809
111.945,46.0151
112.092,53.9682
112.24,57.348
112.387,58.2995
112.535,59.4825
112.682,66.8406
112.829,80.9308
112.977,93.8337
113.124,101.789
113.271,102.744
113.419,99.0184
113.566,98.3222
113.713,103.433
113.861,109.393
114.008,111.99
114.155,111.294
114.303,110.072
114.45,113.475
114.598,125.824
114.745,140.636
114.892,150.058
115.04,160.501
115.187,173.003
115.334,181.885
115.482,187.17
115.629,192.913
115.776,198.825
115.924,198.404
116.071,192.892
116.219,189.517
116.366,193.09
116.513,201.097
116.661,206.222
116.808,202.337
116.955,190.273
117.103,175.308
117.25,160.988
117.397,152.585
117.545,149.636
117.692,145.647
117.84,135.756
117.987,118.738
118.134,98.3677
118.282,80.6489
118.429,71.2313
118.576,69.4219
118.724,67.1899
118.871,60.0543
119.018,51.0912
119.166,43.2499
119.313,37.5662
119.46,31.6808
119.608,22.7011
119.755,17.7004
119.903,20.5246
120.05,23.0852
120.197,22.9975
120.345,25.2139
120.492,29.7922
120.639,34.8401
120.787,39.7782
120.934,41.3743
121.081,38.3132
121.229,32.1889
121.376,22.2719
121.524,13.7216
121.671,13.9029
121.818,18.4443
121.966,22.7273
122.113,23.8157
122.26,21.4697
122.408,20.3602
122.555,19.4126
122.702,17.4857
122.85,15.3626
122.997,12.5628
123.145,7.32691
123.292,-0.663639
123.439,-6.56177
123.587,-4.79939
123.734,4.14099
123.881,14.9099
124.029,21.0385
124.176,23.7682
124.323,29.4288
124.471,36.3527
124.618,43.8681
124.765,53.2366
124.913,62.2973
125.06,68.81
125.208,73.0454
125.355,76.0271
125.502,77.9695
125.65,80.2693
125.797,85.2205
125.944,93.3405
126.092,102.883
126.239,115.517
126.386,133.719
126.534,154.93
126.681,172.287
126.829,183.717
126.976,192.332
127.123,199.903
127.271,205.637
127.418,211.865
127.565,224.288
127.713,240.779
127.86,256.909
128.007,273.205
128.155,289.72
128.302,304.064
128.45,319.158
128.597,339.688
128.744,366.047
128.892,394.297
129.039,419.193
129.186,442.157
129.334,467.567
129.481,498.513
129.628,534.096
129.776,571.566
129.923,607.262
130.07,638.595
130.218,669.472
130.365,699.816
130.513,726.939
130.66,751.384
130.807,770.615
130.955,786.876
131.102,801.773
131.249,811.949
131.397,818.636
131.544,817.342
131.691,802.136
131.839,776.48
131.986,743.289
132.134,703.586
132.281,662.541
132.428,624.198
132.576,589.404
132.723,557.482
132.87,526.05
133.018,493.348
133.165,461.114
133.312,429.918
133.46,397.959
133.607,365.467
133.755,332.039
133.902,301.742
134.049,277.246
134.197,257.645
134.344,243.499
134.491,229.469
134.639,211.696
134.786,193.953
134.933,177.243
135.081,159.744
135.228,143.728
135.375,130.956
135.523,122.987
135.67,119.144
135.818,111.924
135.965,98.2367
136.112,83.1043
136.26,72.3669
136.407,69.5268
136.554,69.7506
136.702,68.3413
136.849,65.1299
136.996,59.5147
137.144,54.219
137.291,49.0419
137.439,45.2923
137.586,43.4703
137.733,40.8979
137.881,40.3313
138.028,44.1375
138.175,51.1711
138.323,58.5831
138.47,65.42
138.617,72.2693
138.765,77.5773
138.912,77.2747
139.06,69.8615
139.207,61.1069
139.354,56.7004
139.502,55.1708
139.649,52.4799
139.796,49.9259
139.944,50.8923
140.091,51.6183
140.238,50.0395
140.386,45.9225
140.533,36.5173
140.68,27.1222
140.828,22.9496
140.975,21.4362
141.123,21.5784
141.27,26.5229
141.417,34.4156
141.565,40.3297
141.712,42.1559
141.859,41.4406
142.007,40.699
142.154,38.7825
142.301,35.1784
142.449,31.5263
142.596,29.8073
142.744,30.0755
142.891,32.5796
143.038,37.0444
143.186,40.2052
143.333,37.8847
143.48,30.8812
143.628,28.091
143.775,31.4937
143.922,32.154
144.07,27.0081
144.217,20.4188
144.365,17.3783
144.512,19.3524
144.659,20.722
144.807,18.1264
144.954,14.3412
145.101,14.5272
145.249,21.0905
145.396,30.3354
145.543,36.2219
145.691,36.9331
145.838,38.9722
145.985,46.8151
146.133,55.6195
