ppm,intensity
68.7682,280.732
68.9156,253.154
69.063,225.239
69.2103,203.541
69.3577,188.706
69.505,178.255
69.6524,165.845
69.7998,151.864
69.9471,144.524
70.0945,142.887
70.2418,145.735
70.3892,155.588
70.5366,166.071
70.6839,169.711
70.8313,164.386
70.9787,153.114
71.126,141.618
71.2734,132.417
71.4207,126.947
71.5681,123.092
71.7155,119.131
71.8628,118.263
72.0102,120.7
72.1575,125.074
72.3049,130.822
72.4523,134.411
72.5996,135.644
72.747,137.673
72.8943,139.857
73.0417,140.114
73.1891,140.168
73.3364,139.577
73.4838,136.842
73.6312,137.303
73.7785,143.561
73.9259,151.179
74.0732,151.261
74.2206,139.765
74.368,123.078
74.5153,109.511
74.6627,101.855
74.81,99.5474
74.9574,99.3176
75.1048,94.3458
75.2521,86.3185
75.3995,81.1224
75.5468,77.3541
75.6942,72.6719
75.8416,69.9018
75.9889,70.0766
76.1363,73.3692
76.2837,80.2274
76.431,88.9558
76.5784,98.1831
76.7257,105.383
76.8731,110.174
77.0205,113.199
77.1678,112.324
77.3152,103.783
77.4625,93.2488
77.6099,87.2523
77.7573,80.6872
77.9046,71.1376
78.052,64.2417
78.1993,63.7051
78.3467,67.6684
78.4941,73.3223
78.6414,74.6257
78.7888,72.1059
78.9362,69.0222
79.0835,61.9095
79.2309,53.0345
79.3782,46.246
79.5256,42.3481
79.673,41.6578
79.8203,42.3288
79.9677,44.2229
80.115,47.5497
80.2624,51.9187
80.4098,56.4569
80.5571,56.7435
80.7045,54.7027
80.8519,54.2814
80.9992,55.9747
81.1466,58.0927
81.2939,54.6517
81.4413,46.0355
81.5887,39.7549
81.736,40.7237
81.8834,44.2541
82.0307,47.0143
82.1781,50.3169
82.3255,55.4049
82.4728,65.2857
82.6202,74.0197
82.7675,72.3227
82.9149,62.9144
83.0623,53.6211
83.2096,47.2183
83.357,46.8976
83.5044,52.2734
83.6517,57.2334
83.7991,60.2439
83.9464,61.0239
84.0938,59.2053
84.2412,56.4853
84.3885,52.0744
84.5359,46.1403
84.6832,41.6776
84.8306,39.0949
84.978,35.435
85.1253,32.3472
85.2727,34.7849
85.42,38.1726
85.5674,38.5504
85.7148,35.2835
85.8621,27.5746
86.0095,23.3587
86.1569,26.63
86.3042,31.4169
86.4516,34.3926
86.5989,36.0042
86.7463,34.8499
86.8937,31.525
87.041,32.6419
87.1884,39.7571
87.3357,44.263
87.4831,46.1642
87.6305,49.8567
87.7778,50.9709
87.9252,48.6874
88.0725,45.3654
88.2199,40.6889
88.3673,37.8037
88.5146,38.6483
88.662,37.2976
88.8094,30.6194
88.9567,20.3083
89.1041,13.6148
